instrument_name,date,expiry,strike,option_type,spot,bid_price,ask_price,mark_price,mark_iv,price_btc,price_usd,open_interest,volume_24h,time_to_expiry,iv,delta
BTC-25SEP26-100000-C,2026-01-18 06:52:17.243065,2026-09-25,100000.0,call,95147.53,0.143,0.1455,0.14426007,45.81,0.14426007,13725.9893381271,860.1,0,0.6821917808219178,0.4581,0.5230141446772972
BTC-6FEB26-112000-C,2026-01-18 06:52:17.243070,2026-02-06,112000.0,call,95147.53,0.0012,0.0014,0.00129445,38.72,0.00129445,123.1637202085,1002.7,0,0.049315068493150684,0.3872,0.03190587973630746
BTC-25SEP26-60000-P,2026-01-18 06:52:17.243076,2026-09-25,60000.0,put,95147.53,0.0215,0.023,0.02224112,53.4,0.02224112,2116.1876324336,804.3,0,0.6821917808219178,0.534,-0.1027680138626973
BTC-19JAN26-102000-P,2026-01-18 06:52:17.243081,2026-01-19,102000.0,put,95147.53,0.071,0.0735,0.07195686,47.05,0.07195686,6846.5174955557995,0.0,0,0.0,0.4705,
BTC-27MAR26-82000-P,2026-01-18 06:52:17.243087,2026-03-27,82000.0,put,95147.53,0.019,0.0195,0.01903729,43.17,0.01903729,1811.3511213936997,105.8,0,0.18356164383561643,0.43170000000000003,-0.18499389722138748
BTC-23JAN26-85000-C,2026-01-18 06:52:17.243092,2026-01-23,85000.0,call,95147.53,0.107,0.109,0.10769915,51.74,0.10769915,10247.308105599499,3.8,0,0.010958904109589041,0.5174,0.9825377157928543
BTC-19JAN26-94000-C,2026-01-18 06:52:17.243097,2026-01-19,94000.0,call,95147.53,0.0135,0.0155,0.01441696,31.36,0.01441696,1371.7381341087998,0.1,0,0.0,0.3136,
BTC-26JUN26-360000-P,2026-01-18 06:52:17.243104,2026-06-26,360000.0,put,95147.53,2.685,2.7215,2.70235884,63.9,2.70235884,257122.7687996652,0.0,0,0.4328767123287671,0.639,-0.9984361618417145
BTC-23JAN26-98000-P,2026-01-18 06:52:17.243109,2026-01-23,98000.0,put,95147.53,0.0345,0.037,0.03587433,36.1,0.03587433,3413.3538899049004,12.5,0,0.010958904109589041,0.361,-0.777189906361437
BTC-27FEB26-96000-P,2026-01-18 06:52:17.243116,2026-02-27,96000.0,put,95147.53,0.0525,0.0535,0.05268324,38.06,0.05268324,5012.6801583972,401.4,0,0.10684931506849316,0.38060000000000005,-0.5037859261796491
BTC-26JUN26-160000-C,2026-01-18 06:52:17.243122,2026-06-26,160000.0,call,95147.53,0.007,0.0075,0.00746192,45.17,0.00746192,709.9832570576,608.7,0,0.4328767123287671,0.4517,0.054768388665562065
BTC-27FEB26-80000-C,2026-01-18 06:52:17.243128,2026-02-27,80000.0,call,95147.53,0.1695,0.1715,0.1701754,44.22,0.1701754,16191.768976762,32.6,0,0.10684931506849316,0.4422,0.8982972306769108
BTC-26JUN26-230000-C,2026-01-18 06:52:17.243134,2026-06-26,230000.0,call,95147.53,0.001,0.0013,0.00116779,52.82,0.00116779,111.11233405869999,772.9,0,0.4328767123287671,0.5282,0.008988503811447448
